state2,state,race,lf7,lf13,punemp1,punemp4,punemp7,punemp13
Maryland,Maryland,946,913,312,6.7,5.4,9.699999999999999,5.1
Maryland,Maryland,925,894,293,5.8,4.7,8.5,5.6
Maryland,Maryland,886,906,262,5.2,3.6,8.300000000000001,5.4
Maryland,Maryland,874,929,306,4.2,3.1,6.8,5.4
Maryland,Maryland,887,994,348,4.2,3.2,6.1,4.5
Massachusetts,Massachusetts,84,203,235,8.4,8.1,15.3,15.6
Massachusetts,Massachusetts,111,227,239,8.5,8.199999999999999,11.5,16.1
Massachusetts,Massachusetts,106,216,263,7.3,7.1,11,10.3
Massachusetts,Massachusetts,82,230,281,6.7,6.4,12.1,9.800000000000001
Massachusetts,Massachusetts,100,240,294,7,6.6,10.6,13.9
Massachusetts,Massachusetts,107,252,321,5.8,5.2,10.8,10.9
Massachusetts,Massachusetts,118,288,314,4.9,4.4,10.6,11
Massachusetts,Massachusetts,135,296,350,3.7,3.5,6,6.5
Massachusetts,Massachusetts,115,312,354,3.9,3.5,7.8,7.2
Michigan,Michigan,777,565,137,13.3,12.2,21,16.6
Michigan,Michigan,915,549,193,12.2,10.6,23.9,13.7
Michigan,Michigan,835,541,180,10.2,9,20.1,10.7
Michigan,Michigan,860,567,175,9.1,8,16.9,10.8
Michigan,Michigan,855,595,185,8.6,7.4,16.5,13
Michigan,Michigan,893,603,222,7.2,5.8,15.9,8.800000000000001
Michigan,Michigan,786,557,258,5.4,4.5,11.6,8.6
Michigan,Michigan,891,594,240,4.9,4.1,10.1,6.1
Michigan,Michigan,779,596,223,4.7,4,9.5,6.8
Minnesota,Minnesota,472,110,105,7.8,7.1,22.5,15.5
Minnesota,Minnesota,410,110,105,7.3,6.4,22,12.3
Minnesota,Minnesota,469,107,119,6.5,5.6,20.7,8.6
Minnesota,Minnesota,448,126,111,5.8,5.2,13.8,8.5
Minnesota,Minnesota,349,143,129,4.9,4.3,15,6.8
Minnesota,Minnesota,360,149,134,4,3.3,11.4,7
Minnesota,Minnesota,369,150,160,3.8,2.9,14.1,3.8
Minnesota,Minnesota,382,150,175,3.9,3,8.800000000000001,5.3
Minnesota,Minnesota,254,166,162,3.4,2.9,7.5,5
Mississippi,Mississippi,895,437,44,9.199999999999999,6.6,14.1,9.800000000000001
Mississippi,Mississippi,917,429,29,10.9,6.9,18.5,11
Mississippi,Mississippi,926,444,31,10.5,6.8,17.9,8
Mississippi,Mississippi,871,427,34,8.9,6.3,13.8,11.2
Mississippi,Mississippi,959,413,32,8.800000000000001,6.1,13.9,12.1
Mississippi,Mississippi,816,411,36,7.7,5.3,12.5,6.8
Mississippi,Mississippi,806,462,34,6.5,4.7,9.4,5.4
Mississippi,Mississippi,818,465,33,5.7,4.5,7.8,7.8
Mississippi,Mississippi,749,469,34,5.1,3.7,7.3,4.2
Missouri,Missouri,928,314,75,9.4,8.5,16.9,9.9
Missouri,Missouri,953,330,84,9.5,8.699999999999999,15.3,13.5
Missouri,Missouri,893,323,95,8.4,7.4,16.3,8.300000000000001
Missouri,Missouri,809,314,93,6.9,6,12.9,6.1
Missouri,Missouri,768,304,81,6.6,5.9,11.1,7.4
Missouri,Missouri,694,333,85,6.4,5.1,14.4,8.199999999999999
Missouri,Missouri,701,339,109,5,4.4,10,5.5
Missouri,Missouri,808,368,123,4.4,3.7,9,6.5
Missouri,Missouri,755,346,130,3.8,3.4,6.3,4.3
Montana,Montana,6,,11,7.1,6.7,,9.199999999999999
Montana,Montana,11,,14,7.7,7.7,,11.9
Montana,Montana,1,,10,7.3,6.8,,12
Montana,Montana,3,,9,6.1,5.3,,10.7
Montana,Montana,3,,13,5.5,4.8,,7
Montana,Montana,8,,13,4.6,4.3,,9.4
Montana,Montana,5,,,4.1,3.7,,
Montana,Montana,18,,16,4.2,4,,6.2
Montana,Montana,3,,19,4,3.4,,7.5
Nebraska,Nebraska,30,41,74,4.6,4.3,8.6,7.4
Nebraska,Nebraska,28,41,80,4.8,4.4,10.5,7.5
Nebraska,Nebraska,30,34,98,4.5,4,14.6,7.8
Nebraska,Nebraska,23,38,102,4,3.5,12.7,7.5
Nebraska,Nebraska,26,45,106,4.1,3.5,10.1,7.7
Nebraska,Nebraska,14,43,102,3.3,2.9,8.300000000000001,5.7
Nebraska,Nebraska,22,,101,3,2.6,,5
Nebraska,Nebraska,26,42,104,3.4,2.7,10,4.7
Nebraska,Nebraska,14,,108,2.8,2.6,,5.7
Nevada,Nevada,312,101,279,11.3,11.2,17.1,16.7
Nevada,Nevada,369,105,300,14.4,13.9,20.8,18.6
Nevada,Nevada,393,101,316,13.1,12.1,22.1,14.5
Nevada,Nevada,357,107,346,11,10.7,16.4,13.6
Nevada,Nevada,350,115,357,9.800000000000001,9,15.1,11
Nevada,Nevada,386,114,373,7.7,7.3,15.4,7.5
Nevada,Nevada,435,113,419,6.9,6.1,13.5,8
Nevada,Nevada,315,121,388,5.9,4.6,12.7,6
