state,race,lf1,lf4,lf7,lf13,punemp1,punemp4,punemp7,punemp13,WHM1,WHM2,WHM3,WHM4,WHM5,WHM6,WHM7,WHM8,WHM9,WHM1_2,WHF1,WHF2,WHF3,WHF4,WHF5,WHF6,WHF7,WHF8,WHF9,WHF1_2,BLKM1,BLKM2,BLKM3,BLKM4,BLKM5,BLKM6,BLKM7,BLKM8,BLKM9,BLKM1_2,BLKF1,BLKF2,BLKF3,BLKF4,BLKF5,BLKF6,BLKF7,BLKF8,BLKF9,BLKF1_2,HISPM1,HISPM2,HISPM3,HISPM4,HISPM5,HISPM6,HISPM7,HISPM8,HISPM9,HISPM1_2,HISPF1,HISPF2,HISPF3,HISPF4,HISPF5,HISPF6,HISPF7,HISPF8,HISPF9,HISPF1_2
Arizona,590,3243,2800,171,1096,5.2,5.1,6.8,7.1,7954,68679,20198,41296,33029,23494,25798,15898,36034,39405,3607,74339,14845,37872,69999,1215,5978,4532,47239,26677,144,3989,1944,3720,6466,1475,4316,4221,7056,2160,115,5522,1722,3464,12564,104,1433,1207,8384,1811,567,10600,7036,15098,17348,17667,21693,26026,24598,8293,384,13935,5798,17951,37394,1601,7862,9915,35397,5582
Arizona,437,3298,2838,181,1078,4.7,4.3,9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,740,1373,1128,193,66,7.8,6.6,14.2,6.3,3844,18476,9480,11641,8859,24692,37566,15452,8849,19163,1232,26787,11251,16076,31444,2421,10813,8723,16237,10180,78,1187,1090,2365,2128,3203,10639,6238,3917,1458,50,2840,2181,4638,6711,721,5109,5149,8265,1052,76,471,331,505,515,1915,5431,7307,1539,637,23,408,410,654,1095,283,2874,6503,1539,272
Arkansas,816,1343,1094,193,62,8.6,7.3,16.5,7.9,3778,18959,9825,11891,8907,24316,37627,15730,9051,18948,1274,28741,11188,15640,30812,1947,10886,8021,17090,9966,66,1138,1172,2442,2133,2924,10918,6565,4010,1459,65,2922,2246,4737,6493,659,5218,5391,8367,1031,109,493,458,496,480,1690,5837,7122,1578,657,39,470,414,721,1127,242,3410,6283,1563,323
Arkansas,745,1364,1104,201,76,8.6,6.6,17.7,7.3,3716,19938,8764,12154,9588,24763,38192,15414,9199,19398,1236,28567,11108,15596,30480,1965,10469,7518,17112,10143,88,1276,1158,2593,2297,3022,11926,6346,4036,1465,73,3179,2335,4929,6422,620,5337,4836,8715,1164,60,554,331,562,622,1829,5445,6530,1499,679,23,545,369,829,1219,280,2661,6095,1673,312
Arkansas,736,1350,1088,201,80,7.6,6,15.9,5.5,3816,20324,8657,12622,10236,24467,39310,13539,8872,19458,1280,29143,11106,15866,30690,1809,10394,6379,17205,10309,79,1288,1080,2691,2306,3181,12209,5795,4522,1495,76,3218,2608,5169,6494,623,5222,4170,9456,1132,75,581,330,610,653,1770,5618,6108,1375,714,21,523,377,867,1288,323,2653,6032,1697,312
Arkansas,742,1306,1063,182,89,7.8,6.4,16.5,8,3808,20488,8909,12314,9936,23734,38363,13640,9154,19733,1356,29818,11183,15476,29392,1730,9844,6756,17906,10763,73,1399,1152,2835,2475,2987,12179,6251,4562,1530,86,3277,2651,5482,6589,637,5092,4390,10096,1162,72,653,419,802,932,1789,5291,6349,1530,785,30,596,359,1253,1591,307,2621,6153,1892,391
Arkansas,566,1293,1055,182,109,6,5.4,9.9,5,3643,21865,8795,12776,10179,24346,37464,13543,9773,21582,1411,31054,10550,15576,29215,1761,9401,6414,17966,12198,99,1477,1187,2885,2803,3107,12739,6388,4748,1758,83,3378,2444,5731,7108,642,5405,4292,10224,1485,79,775,436,1016,1113,1924,5383,5923,1659,1001,27,829,440,1642,1838,323,2734,6011,1999,589
Arkansas,577,1337,1107,184,99,5.2,4.3,10.3,6.7,3686,22164,8417,13762,10829,23592,36020,13298,9316,21655,1675,32149,10802,18991,29711,1669,8628,5907,18429,12451,97,1586,1067,3238,2943,3113,13245,6281,5067,1864,106,3560,2686,7366,7537,701,5187,3887,10929,1600,72,814,389,1294,1221,2012,5205,6017,1634,1042,21,830,485,2471,2164,323,2689,5932,2123,611
Arkansas,651,1348,1090,201,98,3.9,3.2,7.7,3.6,3652,22503,8007,14006,10911,23022,35566,14494,10342,21742,1684,32971,10552,20144,29101,1526,8508,6538,20910,12723,108,1532,1063,3197,2634,2911,13209,6720,5358,1931,121,3563,2434,7304,7305,656,5303,4486,12252,1594,65,864,458,1303,1117,2241,5359,6155,1739,1133,31,922,533,2497,2231,354,2722,6168,2506,683
Arkansas,596,1362,1084,208,104,3.7,3.3,5.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,2251,18250,14260,1084,6302,11.3,11.3,14.3,14.7,51800,287242,71458,147078,66444,97752,81718,45566,121051,188764,19262,258865,46427,142954,203868,7856,16348,17315,123574,113276,1140,17486,9509,18661,16056,10983,22378,15915,40193,11852,897,28203,9429,22513,49271,1255,7431,5964,40358,10784,3919,42591,34332,80123,52984,102659,160859,198043,168489,47273,2138,53052,24996,101918,142586,10120,57285,95462,154686,26823
California,2239,18195,14056,1099,6398,12.2,11.9,19.5,14.7,51594,290154,69540,146889,67386,95923,79334,48249,123868,187286,19103,261950,45144,144679,196684,7717,15288,23911,125521,113587,1181,17423,8886,19353,15069,10295,20913,16229,43176,11667,993,28127,9399,25204,45482,1111,6304,7487,43224,10630,4434,44234,33953,83346,52279,100531,159686,197612,175517,47261,2401,55431,25602,108538,141502,9678,58041,95528,163353,27467
California,2372,18377,14217,1074,6593,11.6,11.3,19.6,13.8,51828,301483,72797,147895,67230,94473,77480,47130,103275,187719,18687,268466,47000,139539,195270,7110,15181,23260,117710,113558,1043,17637,9480,19573,15111,10366,20294,15009,34324,11489,884,28862,9436,24879,45139,970,6241,6815,36475,10505,4381,47545,37006,88075,55131,99360,162793,202130,179678,49185,2468,60029,27156,112439,144833,8868,58482,97805,167805,28585
California,2299,18486,13912,1059,6808,10.4,10.1,17.3,12.7,51501,307921,72239,148510,68124,93357,82267,46343,104256,189666,18646,274667,47767,140990,192518,6017,15492,16589,118582,114458,1042,18357,9046,19736,15147,10444,22276,15610,36178,11497,855,29123,10308,25031,44666,895,6495,5408,36918,10600,4167,50050,37795,87744,56424,102192,172638,200838,184550,49279,2030,63127,28889,112261,146047,8632,57419,97354,176379,28312
California,2285,18657,13888,1052,6787,8.9,8.6,15.7,10.2,53275,320259,73827,147556,68840,94402,82055,49112,106854,189578,19632,280462,47810,139986,192073,5335,15185,18118,121449,116041,1074,19277,9631,20044,15528,10249,23628,17279,38353,11498,958,29712,10187,26579,44602,977,6729,5985,39670,10866,4320,52791,38609,90292,58684,103890,178371,205175,187088,50556,2466,66298,29533,119172,149652,8055,57768,96716,187765,30073
California,2176,18797,13998,1117,6863,7.5,7.1,13.6,8.5,53502,322340,73690,153205,70400,94932,83287,50377,104625,193376,19877,281072,47189,143435,188854,4946,14940,18066,120043,118435,1176,19845,10053,20971,16046,10572,24503,19153,39785,11871,971,29971,10253,28313,44684,871,6979,6756,42168,10963,4584,56026,40870,93550,60282,108339,182342,215964,184916,52677,2427,69478,30517,125865,153150,7611,57747,98060,187930,31372
California,2015,18984,13987,1169,6885,6.2,6,11,7.6,53341,331260,72444,153444,70802,93975,82921,51266,106240,198239,20295,286151,47216,137694,189644,4904,15171,18436,120406,121928,1139,20418,9962,21130,16749,10781,26330,20227,41020,11987,1004,30940,9991,27155,48139,937,7851,8512,44571,11433,7237,59373,41890,95760,61840,113516,191343,217100,191563,55792,4338,73018,31242,128080,166907,7536,60004,97945,202606,34187
California,1905,19076,13806,1150,6834,5.4,5.4,8.800000000000001,6.6,55706,342721,71295,157855,72912,91322,84293,52986,106654,201428,21897,297549,48691,137715,187856,5117,15356,19655,122370,126093,1312,21873,10290,21531,17427,10646,28700,22038,44043,12530,1084,32838,10936,26733,49323,1003,8631,9414,49961,11907,5419,64279,44104,101596,65678,117486,199088,240319,198259,58893,3258,80439,33185,133443,167748,7653,63451,112886,216972,36532
California,1811,19224,13926,1186,7103,4.8,4.7,6.8,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,578,2727,2502,102,442,7.4,6.9,14.7,10.5,8893,78867,20180,39702,19758,26932,29485,13453,27778,41052,3433,70348,15337,40772,58147,2109,5522,4114,38190,25005,130,2344,1133,2922,2643,1027,3685,2682,4886,1207,68,2455,1243,3005,6152,157,555,940,5330,928,286,4857,2747,6804,4555,9842,11652,13571,14541,3826,165,5051,2689,9716,13278,654,3218,5911,17347,2462
Colorado,617,2720,2498,108,452,8.699999999999999,8.4,12.8,13.2,8955,79580,18970,37651,20105,25272,27681,13792,29531,40513,3430,71352,14761,37043,57944,1911,5607,4287,39768,25022,137,2362,1124,2297,2483,962,3199,2671,5244,1180,60,2563,1238,2287,5795,134,530,815,5594,903,330,4932,2728,6032,4407,8882,10518,14751,14139,3798,163,5198,2635,8477,12801,673,3089,6591,16502,2498
